Xipholena punicea,Passeriformes,Cotinginae,Cotingidae,bacacu,Pompadour Cotinga,,
Xipholena lamellipennis,Passeriformes,Cotinginae,Cotingidae,bacacu-preto,White-tailed Cotinga,NT,
Xipholena atropurpurea,Passeriformes,Cotinginae,Cotingidae,bacacu-de-asa-branca,White-winged Cotinga,VU,
Piprites chloris,Passeriformes,Cotinginae,Pipritidae,papinho-amarelo,Wing-barred Piprites,,
Piprites pileata,Passeriformes,Cotinginae,Pipritidae,caneleirinho-de-chapéu-preto,Black-capped Piprites,VU,
Calyptura cristata,Passeriformes,Cotinginae,Platyrinchidae,tietê-de-coroa,Kinglet Calyptura,CR,
Neopipo cinnamomea,Passeriformes,Cotinginae,Platyrinchidae,enferrujadinho,Cinnamon Manakin-Tyrant,,
Platyrinchus saturatus,Passeriformes,Cotinginae,Platyrinchidae,patinho-escuro,Cinnamon-crested Spadebill,,
Platyrinchus mystaceus,Passeriformes,Cotinginae,Platyrinchidae,patinho,White-throated Spadebill,,
Platyrinchus coronatus,Passeriformes,Cotinginae,Platyrinchidae,patinho-de-coroa-dourada,Golden-crowned Spadebill,,
Platyrinchus platyrhynchos,Passeriformes,Cotinginae,Platyrinchidae,patinho-de-coroa-branca,White-crested Spadebill,,
Platyrinchus leucoryphus,Passeriformes,Cotinginae,Platyrinchidae,patinho-de-asa-castanha,Russet-winged Spadebill,VU,
Tachuris rubrigastra,Passeriformes,Cotinginae,Tachurisidae,papa-piri,Many-colored Rush Tyrant,,
Taeniotriccus andrei,Passeriformes,Incertae sedis,Rhynchocyclidae,maria-bonita,Black-chested Tyrant,,
Cnipodectes subbrunneus,Passeriformes,Incertae sedis,Rhynchocyclidae,flautim-pardo,Brownish Twistwing,,
Cnipodectes superrufus,Passeriformes,Incertae sedis,Rhynchocyclidae,flautim-rufo,Rufous Twistwing,VU,
Mionectes amazonus,Passeriformes,Pipromorphinae,Rhynchocyclidae,abre-asa-do-acre,Western McConnell's Flycatcher,,
Mionectes oleagineus,Passeriformes,Pipromorphinae,Rhynchocyclidae,abre-asa,Ochre-bellied Flycatcher,,
Mionectes roraimae,Passeriformes,Pipromorphinae,Rhynchocyclidae,abre-asa-do-tepui,Sierra de Lema Flycatcher,,
Mionectes macconnelli,Passeriformes,Pipromorphinae,Rhynchocyclidae,abre-asa-da-mata,McConnell's Flycatcher,,
Mionectes rufiventris,Passeriformes,Pipromorphinae,Rhynchocyclidae,abre-asa-de-cabeça-cinza,Gray-hooded Flycatcher,,
Leptopogon amaurocephalus,Passeriformes,Pipromorphinae,Rhynchocyclidae,cabeçudo,Sepia-capped Flycatcher,,
